Name,Year,Manufacture,State,Color,Fuel type,Transmission,Engine,VIN,Mileage,Price
Sierra 1500 Elevation Crew Cab 4WD,2021,GMC,"Tifton, GA
83 mi away",Brownstone Metallic,Diesel,Automatic,277 hp 3L I6 Diesel,3GTU9CET0MG309786,"6,398 miles","$52,995"
Tahoe LT 4WD,2020,Chevrolet,"Bainbridge, GA
37 mi away",Silver Ice Metallic,Gasoline,Automatic,355 hp 5.3L V8,1GNSKBKC4LR106089,"33,303 miles","$53,795"
MX-5 Miata,2002,Mazda,"Cairo, GA
31 mi away",Pure White,Gasoline,,142 hp 1.8L I4,JM1NB353220233305,"41,205 miles","$9,999"
F-350 Super Duty,2014,Ford,"Valdosta, GA
63 mi away",Gray,Biodiesel,Automatic,400 hp 6.7L V8 Biodiesel,1FT8W3BT3EEB57056,"201,742 miles","$28,000"
Sienna XLE 8-Passenger FWD,2020,Toyota,"Valdosta, GA
62 mi away",Blue,Gasoline,Automatic,296 hp 3.5L V6,5TDYZ3DC7LS080350,"12,578 miles","$38,991"
Camaro 1LT Coupe RWD,2019,Chevrolet,"Valdosta, GA
71 mi away",Orange,,8-Speed Automatic,,1G1FB1RS8K0108893,"64,000 miles","$24,150"
Silverado 1500 LT Crew Cab RWD,2019,Chevrolet,"Albany, GA
80 mi away",Cajun Red Tintcoat,Gasoline,8-Speed Automatic,355 hp 5.3L V8,1GCPWCEDXKZ255246,"48,873 miles","$38,000"
Accent SE Sedan FWD,2019,Hyundai,"Adel, GA
70 mi away",White (Linen Beige),Gasoline,6-Speed Automatic,130 hp 1.6L I4,3KPC24A30KE080577,"62,471 miles","$13,991"
Camaro 1LT Coupe RWD,2019,Chevrolet,"Sylvester, GA
80 mi away",Riverside Blue Metallic,Gasoline,6-Speed Manual,275 hp 2L I4,1G1FA1RX8K0127121,"21,359 miles","$27,511"
Mustang GT Premium Coupe RWD,2018,Ford,"Dothan, AL
88 mi away",Black,Gasoline,Manual,460 hp 5L V8,1FA6P8CF5J5162589,"9,294 miles","$37,998"
RAV4 LE FWD,2019,Toyota,"Albany, GA
83 mi away",Red (Ruby Flare Pearl),Gasoline,8-Speed Automatic,203 hp 2.5L I4,JTMK1RFV2KD012885,"28,801 miles","$26,898"
Traverse 1LT FWD,2015,Chevrolet,"Dothan, AL
90 mi away",Black,Gasoline,Automatic,281 hp 3.6L V6,1GNKRGKD1FJ300633,"103,181 miles","$14,900"
Corolla SE,2017,Toyota,"Blakely, GA
77 mi away",,Gasoline,,132 hp 1.8L I4,2T1BURHE5HC946114,"60,529 miles","$16,987"
Silverado 1500 LT Double Cab 4WD,2020,Chevrolet,"Lake City, FL
94 mi away",Summit White,Gasoline,8-Speed Automatic,355 hp 5.3L V8,1GCRYDED3LZ125318,"52,737 miles","$36,005"
Expedition Limited RWD,2020,Ford,"Colquitt, GA
59 mi away",White,Gasoline,Automatic,375 hp 3.5L V6,1FMJU1KT6LEA65069,"9,739 miles","$61,490"
Rogue S FWD,2018,Nissan,"Dothan, AL
90 mi away",Blue,Gasoline,Automatic,170 hp 2.5L I4,KNMAT2MTXJP573668,"50,348 miles","$18,900"
7 Series 740Li RWD,2015,BMW,"Tallahassee, FL
7 mi away",White,Gasoline,Automatic,315 hp 3L I6,WBAYE4C54FD139064,"79,551 miles","$24,902"
Model 3 Standard Range Plus RWD,2021,Tesla,"Thomasville, GA
35 mi away",White,Electric,Automatic,,5YJ3E1EA8MF870320,"7,452 miles","$47,997"
Tundra SR5 Double Cab 4WD,2021,Toyota,"Tallahassee, FL
1 mi away",Silver Sky Metallic,Gasoline,6-Speed Automatic,381 hp 5.7L V8,5TFUY5F14MX013029,"11,081 miles","$42,082"
Veloster Turbo FWD,2016,Hyundai,"Valdosta, GA
63 mi away",Blue,Gasoline,Automatic,201 hp 1.6L I4,KMHTC6AE5GU303758,"62,665 miles","$14,995"
Rogue SL AWD,2016,Nissan,"Valdosta, GA
62 mi away",Silver,Gasoline,Continuously Variable Transmission,170 hp 2.5L I4,5N1AT2MV7GC740050,"67,774 miles","$17,876"
ES 350 350 FWD,2017,Lexus,"Blakely, GA
77 mi away",,Gasoline,6-Speed Automatic,268 hp 3.5L V6,58ABK1GG6HU058165,"44,425 miles","$26,787"
Odyssey SE FWD,2016,Honda,"Lake City, FL
94 mi away",Gray (Modern Steel Metallic),Gasoline,6-Speed Automatic,248 hp 3.5L V6,5FNRL5H38GB163310,"104,021 miles","$17,859"
E-Class E 350,2016,Mercedes-Benz,"Tallahassee, FL
1 mi away",Polar White,Gasoline,7-Speed Automatic,302 hp 3.5L V6,WDDHF5KB3GB179975,"67,594 miles","$23,171"
2500 Tradesman Crew Cab LB 4WD,2017,RAM,"Live Oak, FL
76 mi away",White,Diesel,Automatic,350 hp 6.7L I6 Diesel,3C6UR5HL4HG767139,"90,682 miles","$39,995"
Fiesta S FWD,2019,Ford,"Live Oak, FL
76 mi away",Ingot Silver Metallic,Gasoline,6-Speed Automatic,120 hp 1.6L I4,3FADP4AJ7KM153248,"9,174 miles","$14,498"
Durango GT AWD,2018,Dodge,"Ashburn, GA
96 mi away",Gray,Gasoline,Automatic,295 hp 3.6L V6,1C4RDJDG1JC133357,"102,421 miles","$27,903"
HR-V Sport FWD,2019,Honda,"Albany, GA
80 mi away",Milano Red,Gasoline,Continuously Variable Transmission,141 hp 1.8L I4,3CZRU5H13KG700609,"69,198 miles","$20,500"
F-250 Super Duty XLT Crew Cab LB RWD,2019,Ford,"Jasper, FL
78 mi away",White,Flex Fuel Vehicle,6-Speed Automatic,385 hp 6.2L V8 Flex Fuel Vehicle,1FT7W2A67KEC33813,"82,074 miles","$34,990"
Murano SV,2015,Nissan,"Valdosta, GA
63 mi away",Magnetic Black Metallic,Gasoline,Automatic,260 hp 3.5L V6,5N1AZ2MG7FN225763,"94,076 miles","$16,995"
Pathfinder SV 4WD,2019,Nissan,"Dothan, AL
89 mi away",Caspian Blue M,Gasoline,Continuously Variable Transmission,284 hp 3.5L V6,5N1DR2MM8KC577601,"76,968 miles","$23,990"
Titan SL Crew Cab 4WD,2018,Nissan,"Colquitt, GA
59 mi away",Magnetic Black,Gasoline,Automatic,390 hp 5.6L V8,1N6AA1E57JN508432,"25,057 miles","$39,856"
Silverado 1500 LT Crew Cab 4WD,2019,Chevrolet,"Bainbridge, GA
37 mi away",Oakwood Metallic,Gasoline,Automatic,355 hp 5.3L V8,3GCUYDEDXKG198081,"44,028 miles","$41,440"
Charger SXT RWD,2018,Dodge,"Lake City, FL
97 mi away",Pitch Black Clearcoat,Gasoline,8-Speed Automatic,292 hp 3.6L V6,2C3CDXBG5JH194448,"17,511 miles","$26,305"
F-PACE 25t Prestige AWD,2020,Jaguar,"Live Oak, FL
76 mi away",Blue,Gasoline,Automatic,247 hp 2L I4,SADCK2FX0LA622463,"13,799 miles","$46,995"
4 Series 428i Convertible RWD,2015,BMW,"Tallahassee, FL
7 mi away",,Gasoline,8-Speed Automatic,240 hp 2L I4,WBA3V5C57F5A78905,"64,516 miles","$24,981"
Z4 3.0i Roadster RWD,2004,BMW,"Panama City, FL
88 mi away",Bright Red,Gasoline,Manual,225 hp 3L I6,4USBT535X4LT25600,"22,128 miles","$16,989"
1500 Big Horn Crew Cab,2011,RAM,"Panama City Beach, FL
98 mi away",Black,Gasoline,5-Speed Automatic,390 hp 5.7L V8,1D7RB1CTXBS669578,"185,922 miles","$13,500"
Equinox 1LT FWD,2015,Chevrolet,"Thomasville, GA
31 mi away",Black Granite Metallic,Gasoline,6-Speed Automatic Overdrive,182 hp 2.4L I4,2GNALBEK0F6223454,"114,710 miles","$12,610"
Tahoe LS RWD,2016,Chevrolet,"Live Oak, FL
76 mi away",Black,Flex Fuel Vehicle,Automatic,355 hp 5.3L V8 Flex Fuel Vehicle,1GNSCAKC2GR441610,"101,190 miles","$27,995"
Gladiator Sport S Crew Cab 4WD,2020,Jeep,"Lake City, FL
97 mi away",Black Clearcoat,Gasoline,8-Speed Automatic,285 hp 3.6L V6,1C6HJTAG7LL133541,"26,981 miles","$37,950"
RDX FWD with Technology Package,2013,Acura,"Tallahassee, FL
5 mi away",Brown (Tan),Gasoline,Automatic,273 hp 3.5L V6,5J8TB3H53DL018894,"128,242 miles","$12,995"
Silverado 2500HD LTZ Crew Cab 4WD,2015,Chevrolet,"Thomasville, GA
35 mi away",Victory Red,Diesel,Automatic,397 hp 6.6L V8 Diesel,1GC1KWE8XFF164586,"157,489 miles","$39,897"
Silverado 2500HD LTZ Crew Cab 4WD,2020,Chevrolet,"Abbeville, AL
98 mi away",Blue,Biodiesel,6-Speed Automatic,6.6L V8 Biodiesel,1GC4YPEY1LF134356,"34,696 miles","$67,900"
Rogue SV FWD,2017,Nissan,"Albany, GA
80 mi away",Pearl White,Gasoline,Continuously Variable Transmission,170 hp 2.5L I4,5N1AT2MN4HC851382,"75,888 miles","$17,500"
Wrangler Unlimited JK Golden Eagle 4WD,2018,Jeep,"Lake City, FL
97 mi away",Billet Silver Metallic Clearcoat,Gasoline,5-Speed Automatic,285 hp 3.6L V6,1C4BJWDG4JL871273,"29,682 miles","$36,420"
QX80 RWD,2018,INFINITI,"Panama City, FL
86 mi away",Gray (Liquid Platinum),Gasoline,Automatic,400 hp 5.6L V8,JN8AZ2NFXJ9662835,"62,270 miles","$39,987"
Elantra SE Sedan FWD,2017,Hyundai,"Albany, GA
80 mi away",Black,Gasoline,6-Speed Automatic,147 hp 2L I4,5NPD84LF2HH134329,"96,376 miles","$12,000"
1500 Rebel Crew Cab RWD,2018,RAM,"Dothan, AL
90 mi away",Blue Streak Pearlcoat,Gasoline,8-Speed Automatic Overdrive,395 hp 5.7L V8,1C6RR6YT3JS201466,"42,283 miles","$39,600"
Silverado 1500 LTZ Crew Cab 4WD,2017,Chevrolet,"Jasper, FL
78 mi away",Gray (Graphite Metallic),Gasoline,8-Speed Automatic Overdrive,6.2L V8,3GCUKSEJ1HG360104,"92,771 miles","$36,990"
1500 Laramie Crew Cab 4WD,2011,RAM,"Valdosta, GA
63 mi away",Mineral Gray Metallic Clearcoat,Gasoline,5-Speed Automatic,390 hp 5.7L V8,1D7RV1CT1BS600401,"117,856 miles","$20,600"
Edge Limited,2008,Ford,"Abbeville, AL
98 mi away",Blue,Gasoline,,265 hp 3.5L V6,2FMDK39C48BA62646,"162,000 miles","$5,900"
Sentra SR FWD,2021,Nissan,"Albany, GA
80 mi away",Aspen White Tricoat,Gasoline,Continuously Variable Transmission,149 hp 2L I4,3N1AB8DV5MY218372,"6,555 miles","$23,500"
Encore Preferred FWD,2020,Buick,"Lake City, FL
96 mi away",Satin Steel Gray Metallic,Gasoline,6-Speed Automatic Overdrive,138 hp 1.4L I4,KL4CJASB0LB003188,"7,857 miles","$21,900"
Equinox 1.5T LT AWD,2019,Chevrolet,"Lake City, FL
97 mi away",Nightfall Gray Metallic,Gasoline,6-Speed Automatic Overdrive,1.5L I4,2GNAXUEV5K6163000,"46,873 miles","$21,674"
Equinox 1.5T LT FWD,2018,Chevrolet,"Tallahassee, FL
1 mi away",Orange Burst Metallic,Gasoline,6-Speed Automatic Overdrive,1.5L I4,2GNAXJEV3J6136701,"44,679 miles","$19,876"
Corolla 50th Anniversary Edition,2017,Toyota,"Dothan, AL
90 mi away",Red (Burgundy),Gasoline,Automatic,132 hp 1.8L I4,5YFBURHE5HP645889,"36,678 miles","$18,900"
Expedition Limited,2018,Ford,"Lake City, FL
96 mi away",Gray (Magnetic),Gasoline,Automatic,375 hp 3.5L V6,1FMJU1KT4JEA49949,"40,550 miles","$47,500"
X6 M AWD,2018,BMW,"Lake City, FL
94 mi away",Carbon Black Metallic,Gasoline,8-Speed Automatic,567 hp 4.4L V8,5YMKW8C59J0U72607,"41,649 miles","$70,989"
Atlas Cross Sport 2.0T S FWD,2020,Volkswagen,"Valdosta, GA
63 mi away",TOURMALINE BLUE,Gasoline,Automatic,2L I4,1V2AC2CA2LC209334,"16,407 miles","$31,995"
Wrangler Unlimited Rubicon 4WD,2018,Jeep,"Nashville, GA
80 mi away",Bright White Clearcoat,Gasoline,Manual,285 hp 3.6L V6,1C4HJXFG8JW222684,"25,320 miles","$46,995"
Frontier S King Cab RWD,2021,Nissan,"Live Oak, FL
76 mi away",Glacier White,Gasoline,9-Speed Automatic,310 hp 3.8L V6,1N6ED0CEXMN702981,"22,309 miles","$26,295"
Rogue SV,2014,Nissan,"Cairo, GA
31 mi away",Gray (Gun Metallic),Gasoline,Continuously Variable Transmission,170 hp 2.5L I4,5N1AT2MT8EC792086,"85,802 miles","$13,990"
Sentra SR FWD,2021,Nissan,"Albany, GA
80 mi away",Red (Scarlet Ember Tintcoat),Gasoline,Continuously Variable Transmission,149 hp 2L I4,3N1AB8DV5MY229226,"7,490 miles","$22,500"
Tucson 1.6T Limited FWD,2016,Hyundai,"Tallahassee, FL
1 mi away",Coliseum Gray,Gasoline,7-Speed Automatic,175 hp 1.6L I4,KM8J33A20GU222498,"111,059 miles","$14,699"
Compass Sport,2016,Jeep,"Thomasville, GA
31 mi away",Black Clearcoat,Gasoline,Continuously Variable Transmission,158 hp 2L I4,1C4NJCBA2GD615615,"108,005 miles","$11,910"
Optima LX FWD,2019,Kia,"Albany, GA
80 mi away",Ebony Black,Gasoline,6-Speed Automatic,185 hp 2.4L I4,5XXGT4L31KG357854,"61,388 miles","$18,500"
Equinox 1.5T LT AWD,2018,Chevrolet,"Lake City, FL
96 mi away",Silver Ice Metallic,Gasoline,6-Speed Automatic Overdrive,1.5L I4,2GNAXSEV9J6164458,"44,280 miles","$21,000"
Ridgeline Sport AWD,2019,Honda,"Panama City, FL
83 mi away",White Diamond Pearl,Gasoline,Automatic,280 hp 3.5L V6,5FPYK3F16KB007383,"21,147 miles","$32,999"
Colorado LT Crew Cab 4WD,2016,Chevrolet,"Tifton, GA
83 mi away",Silver Ice Metallic,Diesel,Automatic,181 hp 2.8L I4 Diesel,1GCPTCE14G1378528,"92,213 miles","$28,485"
Durango Citadel RWD,2021,Dodge,"Adel, GA
70 mi away",Octane Red Pearlcoat,Gasoline,8-Speed Automatic,295 hp 3.6L V6,1C4RDHEG8MC553953,"14,445 miles","$45,991"
Sorento LX V6 FWD,2020,Kia,"Valdosta, GA
64 mi away",Gravity Gray,Gasoline,Automatic,290 hp 3.3L V6,5XYPG4A52LG622688,"46,383 miles","$24,567"
Corolla L FWD,2021,Toyota,"Albany, GA
80 mi away",Black,Gasoline,Continuously Variable Transmission,1.8L I4,5YFDPMAE6MP167716,"5,284 miles","$22,000"
F-150 Lariat SuperCrew,2013,Ford,"Leesburg, GA
83 mi away",White Platinum Metallic Tri-Coat,Gasoline,6-Speed Automatic,365 hp 3.5L V6,1FTFW1CT8DFC09882,"96,462 miles","$23,914"
F-150 XLT SuperCrew 4WD,2017,Ford,"Dothan, AL
90 mi away",Lightning Blue,Flex Fuel Vehicle,6-Speed Automatic,5L V8 Flex Fuel Vehicle,1FTEW1EF6HFB61596,"15,605 miles","$39,815"
Escape Titanium FWD,2017,Ford,"Lake City, FL
97 mi away",White Gold,Gasoline,6-Speed Automatic,245 hp 2L I4,1FMCU0J93HUD05023,"63,459 miles","$18,303"
Soul Base,2016,Kia,"Panama City, FL
86 mi away",Clear White,Gasoline,Automatic,130 hp 1.6L I4,KNDJN2A21G7367847,"55,160 miles","$12,987"
Rover Range Rover V6 HSE 4WD,2019,Land,"Lake City, FL
94 mi away",Yulong White Metallic,Gasoline,8-Speed Automatic,380 hp 3L V6,SALGS2SV1KA552867,"21,177 miles","$85,107"
A4 2.0T quattro Premium Plus AWD,2011,Audi,"Tallahassee, FL
3 mi away",Brown (Beige),Gasoline,Automatic,211 hp 2L I4,WAUFFAFLXBN045000,"111,968 miles","$8,995"
Forte LXS FWD,2021,Kia,"Lake City, FL
97 mi away",Silky Silver,Gasoline,Automatic,147 hp 2L I4,3KPF24AD1ME305033,"1,614 miles","$19,879"
CX-5 Sport,2016,Mazda,"Camilla, GA
56 mi away",Gray,Gasoline,Automatic,184 hp 2.5L I4,JM3KE2BY8G0732032,"31,508 miles","$19,999"
F-150 XLT SuperCrew RWD,2018,Ford,"Lake City, FL
96 mi away",Lightning Blue,Gasoline,Automatic,325 hp 2.7L V6,1FTEW1CPXJKF26001,"38,825 miles","$33,213"
Corolla LE FWD,2020,Toyota,"Dothan, AL
90 mi away",Black,Gasoline,Automatic,1.8L I4,5YFEPRAE7LP110554,"28,327 miles","$19,900"
Altima 2.5 SL FWD,2019,Nissan,"Albany, GA
80 mi away",Blue,Gasoline,Continuously Variable Transmission,188 hp 2.5L I4,1N4BL4EV3KC185633,"37,120 miles","$22,488"
Sentra SV,2017,Nissan,"Albany, GA
80 mi away",Gray (Graphite Blue),Gasoline,Continuously Variable Transmission,130 hp 1.8L I4,3N1AB7AP6HY222761,"42,130 miles","$14,500"
Rogue SL AWD,2018,Nissan,"Thomasville, GA
31 mi away",Caspian Blue,Gasoline,Continuously Variable Transmission,170 hp 2.5L I4,5N1AT2MV8JC731669,"56,780 miles","$22,974"
Bronco Badlands Advanced 4-Door 4WD,2021,Ford,"Thomasville, GA
35 mi away",,Gasoline,Manual,270 hp 2.3L I4,1FMEE5DH7MLA73743,291 miles,"$82,985"
Cherokee Latitude Plus FWD,2019,Jeep,"Thomasville, GA
31 mi away",Billet Silver Metallic Clearcoat,Gasoline,9-Speed Automatic,180 hp 2.4L I4,1C4PJLLB5KD240909,"54,580 miles","$21,535"
MDX SH-AWD with Advance Package,2017,Acura,"Valdosta, GA
63 mi away",Black,Gasoline,Automatic,290 hp 3.5L V6,5FRYD4H81HB003557,"29,162 miles","$35,995"
Acadia SLT-1 AWD,2015,GMC,"Nashville, GA
80 mi away",Gray (Iridium Metallic),Gasoline,Automatic,281 hp 3.6L V6,1GKKVRKD7FJ218104,"112,972 miles","$17,595"
Civic LX,2018,Honda,"Albany, GA
80 mi away",Crystal Black Pearl,Gasoline,Continuously Variable Transmission,158 hp 2L I4,2HGFC2F57JH525684,"34,434 miles","$19,000"
Optima LX FWD,2019,Kia,"Albany, GA
80 mi away",Sparkling Silver,Gasoline,6-Speed Automatic,185 hp 2.4L I4,5XXGT4L38KG296101,"67,384 miles","$18,500"
Edge Titanium,2017,Ford,"Abbeville, AL
98 mi away",Silver,Gasoline,,245 hp 2L I4,2FMPK3K94HBB40645,"97,410 miles","$19,499"
Ranger,2005,Ford,"Dothan, AL
88 mi away",Silver,Gasoline,Automatic,207 hp 4L V6,1FTZR45E75PA52491,"105,477 miles","$8,495"
M-Class ML 350,2015,Mercedes-Benz,"Tallahassee, FL
7 mi away",Red,Gasoline,Automatic,302 hp 3.5L V6,4JGDA5JB2FA534031,"43,260 miles","$26,991"
1500 Rebel Crew Cab 4WD,2016,RAM,"Nashville, GA
80 mi away",Flame Red Clearcoat,Gasoline,Automatic,395 hp 5.7L V8,1C6RR7YT1GS176484,"105,978 miles","$31,995"
Camry XSE,2017,Toyota,"Albany, GA
80 mi away",Cosmic Gray Mica,Gasoline,6-Speed Automatic,178 hp 2.5L I4,4T1BF1FK2HU432921,"99,917 miles","$17,500"
E-Class E 300 Sedan RWD,2018,Mercedes-Benz,"Lake City, FL
97 mi away",White,Gasoline,9-Speed Automatic,241 hp 2L I4,WDDZF4JB3JA344551,"21,225 miles","$38,509"
Expedition XLT 4WD,2017,Ford,"Lake City, FL
96 mi away",Shadow Black,Gasoline,6-Speed Automatic,365 hp 3.5L V6,1FMJU1JT6HEA04345,"105,695 miles","$23,500"
Silverado 1500 RST Crew Cab 4WD,2020,Chevrolet,"Adel, GA
70 mi away",Northsky Blue Metallic,Gasoline,8-Speed Automatic,355 hp 5.3L V8,1GCUYEED4LZ374615,"7,838 miles","$49,991"
SRX Performance FWD,2014,Cadillac,"Panama City, FL
88 mi away",Silver Coast Metallic,Gasoline,Automatic,308 hp 3.6L V6,3GYFNCE33ES584694,"42,296 miles","$19,968"
Edge Limited,2011,Ford,"Tallahassee, FL
5 mi away",Red,Gasoline,Automatic,285 hp 3.5L V6,2FMDK3KC0BBA62080,"199,168 miles","$5,199"
Accord EX-L,2013,Honda,"Albany, GA
80 mi away",Gray (Modern Steel Metallic),Gasoline,Continuously Variable Transmission,185 hp 2.4L I4,1HGCR2F86DA074293,"140,075 miles","$13,000"
Forte LXS FWD,2019,Kia,"Albany, GA
80 mi away",Currant Red,Gasoline,Automatic,147 hp 2L I4,3KPF24AD8KE048739,"69,515 miles","$16,500"
Suburban 1500 LT RWD,2019,Chevrolet,"Tallahassee, FL
6 mi away",Black,Gasoline,Automatic,355 hp 5.3L V8,1GNSCHKC3KR181588,"60,364 miles","$45,821"
Silverado 1500 LTZ Crew Cab 4WD,2019,Chevrolet,"Adel, GA
70 mi away",Black,Gasoline,Automatic,420 hp 6.2L V8,1GCUYGEL8KZ109486,"27,747 miles","$52,991"
Edge SEL FWD,2019,Ford,"Albany, GA
83 mi away",Gray (Magnetic),Gasoline,8-Speed Automatic,250 hp 2L I4,2FMPK3J99KBB47745,"27,980 miles","$27,446"
Journey SE FWD,2018,Dodge,"Valdosta, GA
63 mi away",White,Gasoline,Automatic,173 hp 2.4L I4,3C4PDCAB9JT525132,"80,371 miles","$16,200"
Cascada Premium FWD,2019,Buick,"Tallahassee, FL
6 mi away",Summit White,Gasoline,Automatic,1.6L I4,W04WH3N53KG301262,"29,060 miles","$27,989"
Beetle Classic,2016,Volkswagen,"Tallahassee, FL
6 mi away",Black Uni,Gasoline,Automatic,170 hp 1.8L I4,3VWF17AT8GM610340,"91,885 miles","$13,797"
Soul Base FWD,2019,Kia,"Panama City, FL
86 mi away",Shadow Black,Gasoline,Automatic,130 hp 1.6L I4,KNDJN2A20K7910114,"42,901 miles","$15,995"
Corolla LE FWD,2020,Toyota,"Albany, GA
83 mi away",Black Sand Pearl,Gasoline,Continuously Variable Transmission,1.8L I4,JTDVPRAE6LJ106788,"16,005 miles","$21,372"
Corvette Stingray 2LT Coupe RWD,2018,Chevrolet,"Panama City, FL
83 mi away",Black,Gasoline,Manual,6.2L V8,1G1YC2D75J5103392,"18,451 miles","$53,999"
Grand Caravan SE Plus FWD,2018,Dodge,"Albany, GA
80 mi away",Black Onyx Crystal Pearlcoat,Flex Fuel Vehicle,6-Speed Automatic,283 hp 3.6L V6 Flex Fuel Vehicle,2C4RDGBGXJR152681,"65,096 miles","$18,500"
Trax LT FWD,2020,Chevrolet,"Lake City, FL
96 mi away",Summit White,Gasoline,6-Speed Automatic,138 hp 1.4L I4,3GNCJLSB3LL215767,"30,529 miles","$19,100"
Edge SEL AWD,2020,Ford,"Lake City, FL
97 mi away",Iconic Silver Metallic,Gasoline,8-Speed Automatic,250 hp 2L I4,2FMPK4J95LBA55152,"26,277 miles","$28,705"
MKC FWD,2015,Lincoln,"Camilla, GA
56 mi away",Tuxedo Black Metallic,Gasoline,Automatic,240 hp 2L I4,5LMCJ1A94FUJ01677,"81,113 miles","$17,999"
Malibu LT FWD,2019,Chevrolet,"Albany, GA
80 mi away",Pacific Blue Metallic,Gasoline,Continuously Variable Transmission,160 hp 1.5L I4,1G1ZD5ST0KF163613,"68,875 miles","$19,000"
Highlander SE FWD,2019,Toyota,"Tifton, GA
83 mi away",Silver,Gasoline,8-Speed Automatic,295 hp 3.5L V6,5TDKZRFH6KS552800,"53,300 miles","$34,878"
F-150 King Ranch SuperCrew 4WD,2018,Ford,"Dothan, AL
87 mi away",Gold,Gasoline,Automatic,395 hp 5L V8,1FTEW1E55JFC98333,"114,490 miles","$38,500"
F-150 Lariat SuperCrew 4WD,2020,Ford,"Valdosta, GA
64 mi away",Stone Gray,,Automatic,,1FTEW1E49LFA08721,"52,394 miles","$46,787"
Sportage LX FWD,2019,Kia,"Panama City, FL
86 mi away",Burnished Copper,Gasoline,Automatic,181 hp 2.4L I4,KNDPM3AC5K7494038,"59,764 miles","$18,490"
Crosstrek Premium,2016,Subaru,"Dothan, AL
88 mi away",Red,Gasoline,Automatic,2L H4,JF2GPADC6G8245998,"44,534 miles","$21,998"
Wrangler Unlimited Sahara 4WD,2014,Jeep,"Thomasville, GA
31 mi away",Gray,Gasoline,5-Speed Automatic,285 hp 3.6L V6,1C4BJWEG1EL128204,"81,000 miles","$29,628"
Corolla Special Edition Package,2016,Toyota,"Tallahassee, FL
6 mi away",Classic Silver Metallic,Gasoline,4-Speed Automatic,132 hp 1.8L I4,5YFBURHE2GP541651,"64,301 miles","$13,976"
Dakota ST Club Cab RWD,2007,Dodge,"Panama City Beach, FL
93 mi away",Blue,Gasoline,5-Speed Automatic,210 hp 3.7L V6,1D7HE22K07S250597,"91,454 miles","$8,290"
Sienna XLE 8-Passenger FWD,2018,Toyota,"Dothan, AL
90 mi away",Salsa Red Pearl,Gasoline,8-Speed Automatic Overdrive,296 hp 3.5L V6,5TDYZ3DC4JS965618,"55,889 miles","$29,990"
Equinox 1.5T LT AWD,2019,Chevrolet,"Lake City, FL
96 mi away",Mosaic Black Metallic,Gasoline,6-Speed Automatic Overdrive,1.5L I4,2GNAXTEV6K6254240,"55,740 miles","$21,250"
Altima 2017.5 2.5 S,2017,Nissan,"Tallahassee, FL
6 mi away",Black,Gasoline,Automatic,182 hp 2.5L I4,1N4AL3AP8HN363966,"88,452 miles","$13,500"
S-Class S 550 4MATIC,2016,Mercedes-Benz,"Tallahassee, FL
7 mi away",White,Gasoline,Automatic,449 hp 4.7L V8,WDDUG8FBXGA208580,"75,599 miles","$46,991"
Acadia SLT-1 FWD,2019,GMC,"Albany, GA
80 mi away",Gray (Iridium Metallic),Gasoline,6-Speed Automatic,310 hp 3.6L V6,1GKKNMLS1KZ101789,"68,639 miles","$30,000"
Frontier SV V6 Crew Cab RWD,2019,Nissan,"Albany, GA
80 mi away",Gray (Gun Metallic),Gasoline,5-Speed Automatic Overdrive,261 hp 4L V6,1N6DD0ER8KN758880,"20,900 miles","$27,500"
F-150 XLT SuperCab 4WD,2018,Ford,"Lake City, FL
97 mi away",Oxford White,Gasoline,Automatic,325 hp 2.7L V6,1FTEX1EP2JFE53225,"43,236 miles","$33,063"
1500 Laramie Crew Cab LB RWD,2018,RAM,"Dothan, AL
90 mi away",Flame Red Clearcoat,Gasoline,8-Speed Automatic Overdrive,395 hp 5.7L V8,1C6RR6VT0JS131297,"61,783 miles","$34,768"
Expedition Limited 4WD,2017,Ford,"Valdosta, GA
64 mi away",Shadow Black,Gasoline,Automatic,365 hp 3.5L V6,1FMJU2AT4HEA13731,"64,799 miles","$37,477"
Terrain SLE,2019,GMC,"Albany, GA
80 mi away",Gray,Gasoline,Automatic,1.5L I4,3GKALMEV9KL378951,"63,311 miles","$22,510"
1500 Laramie Longhorn Crew Cab 4WD,2019,RAM,"Cairo, GA
31 mi away",Delmonico Red Pearlcoat,Flex Fuel Vehicle,8-Speed Automatic,305 hp 3.6L V6 Flex Fuel Vehicle,1C6RRFKG9KN838163,"9,734 miles","$54,999"
Nautilus Reserve AWD,2020,Lincoln,"Lake City, FL
96 mi away",Magnetic Gray,Gasoline,8-Speed Automatic,250 hp 2L I4,2LMPJ8K91LBL20047,"23,810 miles","$44,500"
Silverado 3500HD LTZ Crew Cab 4WD,2019,Chevrolet,"Tallahassee, FL
1 mi away",Gray (Graphite Metallic),Biodiesel,6-Speed Automatic,6.6L V8 Biodiesel,1GC4KXCY3KF155342,"39,235 miles","$65,461"
Camry SE AWD,2020,Toyota,"Valdosta, GA
63 mi away",Celestial Silver Metallic,Gasoline,Automatic,202 hp 2.5L I4,4T1G11BK0LU002324,"31,672 miles","$26,995"
RX 350 FWD,2019,Lexus,"Lake City, FL
96 mi away",Atomic Silver,Gasoline,8-Speed Automatic,295 hp 3.5L V6,2T2ZZMCA0KC144600,"33,264 miles","$38,400"
